artist,play_count
Miranda Lambert,1235
Explosions in the Sky,670
Dean Martin,534
Norah Jones,434
Jack Johnson,353
Amos Lee,332
Frank Sinatra,331
Pink Martini,309
Michael Bublé,302
Ella Fitzgerald,273
Joshua Radin,218
Brandi Carlile,183
The Weepies,172
Deb Talan,168
Green Day,163
Ingrid Michaelson,159
Patty Griffin,159
Madeleine Peyroux,156
Louis Armstrong,143
Nat King Cole,143
Diana Krall,128
Duke Ellington,124
Griffin House,122
Julie London,113
Billy Currington,97
"Harry Connick, Jr.",94
Vince Guaraldi Trio,94
Florida Georgia Line,92
Bobby Darin,89
Billie Holiday,88
Bing Crosby,88
Patsy Cline,87
Sarah Vaughan,83
The Civil Wars,78
Red Hot Chili Peppers,77
Kacey Musgraves,72
Tony Bennett,72
Alan Jackson,70
Etta James,69
Stacey Kent,67
Sara Evans,65
Brad Paisley,62
Kina Grannis,62
Emilie-Claire Barlow,61
Melody Gardot,60
Macklemore & Ryan Lewis,58
Silversun Pickups,58
Dave Brubeck,52
Frank Sinatra & Count Basie,52
Glenn Miller,52
Ray LaMontagne,52
Benny Goodman,47
Gregory Alan Isakov,47
Tracy Chapman,47
Maren Morris,46
Elvis Presley,45
Natalie Merchant,45
Caro Emerald,43
Count Basie,43
OneRepublic,43
Iron & Wine,42
Mandolin Orange,42
Bill Evans,41
Steve Tyrell,40
The Holiday Guitar Ensemble,40
Kenny Chesney,39
Peter Bradley Adams,39
Waylon Jennings,39
Brett Dennen,38
Katie Herzig,38
Chet Baker,37
Dixie Chicks,37
Dinah Washington,36
Coleman Hawkins,35
Death Cab for Cutie,35
George Strait,35
Marty Robbins,35
Alison Krauss & Union Station,34
Jane Monheit,33
Eliza,32
Jimmy Durante,32
Amy Kuney,31
Andy Williams,31
Brenda Lee,31
Merle Haggard,31
Ray Charles,31
Tim McGraw,31
Passenger,30
The Head and the Heart,30
Tristan Prettyman,30
Gotan Project,29
Loretta Lynn,29
Perry Como,29
Sara Bareilles,29
Stan Getz,29
Blossom Dearie,28
Maroon 5,28
A Fine Frenzy,27
Conway Twitty,27
Eliane Elias,27
Hank Williams,27
Joe Pass,27
John Coltrane,27
Lou Monte,27
Nancy Wilson,27
Sam Cooke,27
Ed Sheeran,26
Mat Kearney,26
Neon Trees,26
Plain White T's,26
Willie Nelson,26
Ben Webster,25
Django Reinhardt,25
James Taylor,25
Johnny Cash,25
KT Tunstall,25
Lester Young,25
Lifehouse,25
Peggy Lee,25
Bajofondo,24
Johannes Linstead,24
John Denver,24
John Mayer,24
John Williams,24
Lady Antebellum,24
Magical Strings,24
Mel Tormé,24
Tall Heights,24
Austin Basham,23
Jo Stafford,23
Meiko,23
Astrud Gilberto,22
Blake Shelton,22
Carly Rae Jepsen,22
Esther Phillips,22
Little Big Town,22
Louis Prima,22
She & Him,22
Artie Shaw,21
Connie Evingson,21
Jerry Vale,21
Matchbox Twenty,21
Michael Franti & Spearhead,21
Miles Davis,21
Rascal Flatts,21
The Rat Pack,21
Alison Krauss,20
Brett Eldredge,20
Carmen McRae,20
Christina Perri,20
Dierks Bentley,20
Feist,20
George Jones,20
Holiday Guitar,20
Leo Kottke,20
"Sammy Davis, Jr.",20
Sarah Jarosz,20
Timmy Curran,20
Train,20
Adele,19
Art Tatum,19
Chris Stapleton,19
Dan Crary,19
Duo Gadjo,19
Eartha Kitt,19
fun.,19
Matt Nathanson,19
Mumford & Sons,19
Sara Gazarek,19
Scott Hamilton,19
Sufjan Stevens,19
Toby Keith,19
Daniela Andrade,18
Eddie Berman,18
Fats Waller,18
Mipso,18
The Beatles,18
The Milk Carton Kids,18
Burl Ives,17
Dolly Parton,17
Donovan Woods,17
Electro Dub Tango,17
Fred Astaire,17
Ira Wolf,17
Joni Mitchell,17
The Ramsey Lewis Trio,17
Veruca Salt,17
William Fitzsimmons,17
Wynton Marsalis,17
Zac Brown Band,17
Balmorhea,16
Clint Black,16
David Allan Coe,16
Drew Holcomb & the Neighbors,16
Garth Brooks,16
Horse Feathers,16
I'm With Her,16
Jeffrey Foucault,16
Joe Purdy,16
Koop,16
