artist,track,play_count
Miranda Lambert,For the Birds,47
Miranda Lambert,We Should Be Friends,43
Red Hot Chili Peppers,Soul to Squeeze,39
Miranda Lambert,Well-Rested,38
Miranda Lambert,To Learn Her,36
Miranda Lambert,Tin Man,35
Miranda Lambert,Pink Sunglasses,33
Miranda Lambert,Pushin' Time,33
Miranda Lambert,Bathroom Sink,32
Natalie Merchant,San Andreas Fault,31
Miranda Lambert,Tomboy,30
Miranda Lambert,Vice,30
Miranda Lambert,Keeper Of The Flame,29
Miranda Lambert,Ugly Lights,29
Julie London,I'm in the Mood for Love,28
Miranda Lambert,Runnin' Just In Case,28
Miranda Lambert,Highway Vagabond,27
Death Cab for Cutie,I Will Follow You Into The Dark,27
Miranda Lambert,Getaway Driver,26
Norah Jones,The Long Way Home,26
Miranda Lambert,Use My Heart,26
Miranda Lambert,You Wouldn't Know Me,26
Miranda Lambert,Old Sh!t,25
Miranda Lambert,Smoking Jacket,25
Miranda Lambert,Priscilla,24
Amos Lee,Arms Of A Woman,23
Miranda Lambert,Automatic,23
Miranda Lambert,Bad Boy,23
Miranda Lambert,Covered Wagon,23
Julie London,I'm Glad There Is You - 1992 - Remaster,23
Amos Lee,Night Train,23
Amos Lee,Wait Up for Me,23
Miranda Lambert,I've Got Wheels,22
Ella Fitzgerald,It's Only a Paper Moon,22
Julie London,Show Me the Way to Go Home,22
Miranda Lambert,Six Degrees of Separation,22
Miranda Lambert,The House That Built Me,22
Miranda Lambert,Things That Break,22
Miranda Lambert,All That's Left - [feat. The Time Jumpers],21
Miranda Lambert,Good Ol' Days,21
Explosions in the Sky,Lightning and a Bottle,21
Miranda Lambert,Little Red Wagon,21
Explosions in the Sky,Manglehorn Lock and Key,21
Amos Lee,Sweet Pea,21
Amos Lee,Windows Are Rolled Down,21
Miranda Lambert,Babies Makin' Babies,20
Sarah Vaughan,Black Coffee,20
Explosions in the Sky,Landing Cliffs,20
Peter Bradley Adams,My Arms Were Always Around You,20
Norah Jones,Sunrise,20
Madeleine Peyroux,The Summer Wind,20
Austin Basham,All Is Well,19
Miranda Lambert,Dear Old Sun,19
Miranda Lambert,Gravity Is a B**ch,19
Michael Bublé,It's Beginning to Look a Lot Like Christmas,19
Explosions in the Sky,Logic Of A Dream,19
Dean Martin,Ain't That a Kick in the Head,18
Explosions in the Sky,Did I Scare You?,18
Miranda Lambert,Girls,18
Amos Lee,"Keep It Loose, Keep It Tight",18
Nat King Cole,Smile,18
Ingrid Michaelson,The Way I Am,18
Explosions in the Sky,Colors in Space,17
Norah Jones,Come Away with Me,17
Explosions in the Sky,Disintegration Anxiety,17
Explosions in the Sky,First Breath After Coma,17
Explosions in the Sky,Losing the Light,17
Pink Martini,Ou est ma tete?,17
Miranda Lambert,Platinum,17
Amos Lee,Southern Girl,17
Ella Fitzgerald,They Can't Take That Away From Me,17
Explosions in the Sky,Wilderness,17
Explosions in the Sky,Your Hand in Mine,17
Ella Fitzgerald,Frosty The Snowman,16
Eartha Kitt,Santa Baby,16
Miranda Lambert,Smokin' and Drinkin' - [feat. Little Big Town],16
Miranda Lambert,Somethin' Bad - (duet with Carrie Underwood),16
Amos Lee,Violin,16
Norah Jones,Don't Know Why,15
Diana Krall,Feels Like Home,15
Pink Martini,Hang on Little Tomato,15
Explosions in the Sky,Hello!,15
Norah Jones,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,15
Sarah Vaughan,Mean To Me,15
Dean Martin,Memories Are Made Of This,15
Plain White T's,Rhythm of Love,15
Explosions in the Sky,"So Long, Lonesome",15
Frank Sinatra & Count Basie,The Best Is Yet To Come,15
Jack Johnson,Upside Down,15
Michael Bublé,All I Want for Christmas Is You,14
Elvis Presley,Blue Christmas,14
Deb Talan,Comfort,14
Ella Fitzgerald,Dream A Little Dream Of Me,14
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),14
Nat King Cole,L-O-V-E - 2000 Digital Remaster,14
Norah Jones,Peace - Live In NYC,14
Joshua Radin,We Are Okay,14
Ingrid Michaelson,You And I,14
Explosions in the Sky,A Strange World,13
Explosions in the Sky,Baseball Miracles,13
Michael Bublé,Christmas (Baby Please Come Home),13
Amos Lee,Colors,13
Dean Martin,Everybody Loves Somebody,13
Tracy Chapman,Fast Car,13
Sarah Vaughan,Key Largo,13
Dean Martin,King of the Road,13
Nat King Cole,L-O-V-E,13
Dave Barnes,Nothing Like You,13
Stacey Kent,Quiet Nights of Quiet Stars (Live),13
Bill Evans,Santa Claus Is Coming To Town,13
Norah Jones,Shoot the Moon,13
Louis Armstrong,A Kiss to Build a Dream On,12
Pink Martini,Amado Mio,12
Etta James,At Last - Single Version,12
Bobby Darin,Beyond the Sea,12
Joshua Radin,Brand New Day,12
Michael Bublé,Cold December Night,12
Madeleine Peyroux,Don't Wait Too Long,12
William Fitzsimmons,Fortune - Acoustic,12
Bing Crosby,Frosty the Snowman - 2006 - Remaster,12
The Weepies,Gotta Have You,12
Miranda Lambert,Holding on to You,12
Joshua Radin,I'd Rather Be with You,12
Billie Holiday,I'll Be Seeing You,12
Frank Sinatra,I've Got the World On a String,12
Ray LaMontagne,Jolene,12
Chet Atkins,Jolly Old St. Nicholas,12
Frank Sinatra,Love Is Here to Stay,12
Explosions in the Sky,Memorial,12
Michael Bublé,Moondance,12
Bobby Darin,More - 2004 Digital Remaster,12
Maren Morris,My Church,12
Diana Krall,NIGHT AND DAY,12
Michael Bublé,Save the Last Dance for Me,12
Explosions in the Sky,Six Days At The Bottom Of The Ocean,12
Julie London,Spring Will Be A Little Late This Year,12
Ira Wolf,Sunscreen,12
Dean Martin,Sway,12
Pink Martini,Sympathique,12
Explosions in the Sky,Tangle Formations,12
Ella Fitzgerald,The Christmas Song,12
Gregory Alan Isakov,The Stable Song,12
Norah Jones,Turn Me On,12
Bing Crosby,Winter Wonderland - 2006 - Remaster,12
The Weepies,World Spins Madly On,12
Explosions in the Sky,An Old Peasant Like Me,11
Billie Holiday,Autumn in New York,11
Tall Heights,Back To Autumn,11
Frank Sinatra,Come Fly With Me - 1998 Digital Remaster,11
Norah Jones,Feelin' the Same Way,11
John Paul White,Hate the Way You Love Me,11
"Harry Connick, Jr.",He Is They Are,11
Michael Bublé,Holly Jolly Christmas,11
Explosions in the Sky,Human Qualities,11
Maren Morris,I Could Use a Love Song,11
Frank Sinatra,I Get a Kick Out of You,11
Chris Botti,I Really Don't Want Much for Christmas,11
Frank Sinatra & Count Basie,I Won't Dance,11
Airmen of Note,In the Mood,11
Explosions in the Sky,Infinite Orbit,11
Madeleine Peyroux,Instead,11
Andy Williams,It's the Most Wonderful Time of the Year,11
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,11
Eliane Elias,Little Paradise,11
Dean Martin,Mambo Italiano,11
Kina Grannis,Memory,11
Stacey Kent,Never let me go,11
Amos Lee,New Love,11
Explosions in the Sky,Peristalsis,11
Explosions in the Sky,Postcard From 1952,11
Patty Griffin,Rain,11
Amos Lee,Running Out Of Time,11
Vince Guaraldi Trio,Skating,11
Explosions in the Sky,The Ecstatics,11
Lord Huron,The Night We Met,11
Ella Fitzgerald,The Secret Of Christmas,11
Lori McKenna,The Time I've Wasted,11
Dean Martin,"Tik-A-Tee, Tik-A-Tay",11
Joshua Radin,Vegetable Car,11
Explosions in the Sky,Waking Up,11
Nat King Cole,When I Fall in Love,11
Caro Emerald,You Don't Love Me,11
Frank Sinatra,You Make Me Feel so Young,11
Frank Sinatra,You Make Me Feel So Young - 1998 Digital Remaster,11
Dean Martin,You're Nobody Till Somebody Loves You,11
Madeleine Peyroux,(Getting Some) Fun Out of Life,10
Jack Johnson,Angel,10
Christina Perri,Arms,10
Deb Talan,Ashes on Your Eyes,10
Dean Martin,Baby-O,10
Explosions in the Sky,"Be Comfortable, Creature",10
The Ballroom Thieves,Bees,10
Eric Hutchinson,Breakdown More,10
Bobby Darin,Christmas Auld Land Syne,10
"Harry Connick, Jr.",Christmas Day,10
Louis Armstrong,Christmas In New Orleans,10
Kurt Elling,Cool Yule,10
Michael Bublé,Crazy Love,10
Madeleine Peyroux,Dance Me To The End Of Love,10
Bright Eyes,First Day of My Life,10
